feature_code,weight_ratio,year,la_name
S12000039,2.1,2010,West Dunbartonshire
S12000039,3.41,2004,West Dunbartonshire
S12000005,3.16,2004,Clackmannanshire
S12000038,2.7,2006,Renfrewshire
S12000005,3.5,2005,Clackmannanshire
S12000005,2.48,2002,Clackmannanshire
S12000039,2.88,2007,West Dunbartonshire
S12000038,2.91,2007,Renfrewshire
S12000039,2.3,2009,West Dunbartonshire
S12000038,2.88,2008,Renfrewshire
S12000005,3.28,2006,Clackmannanshire
S12000045,2.46,2003,East Dunbartonshire
S12000019,2.38,2005,Midlothian
S12000019,2.65,2004,Midlothian
S12000029,1.91,2009,South Lanarkshire
S12000021,2.44,2002,North Ayrshire
S12000045,1.45,2013,East Dunbartonshire
S12000029,1.86,2012,South Lanarkshire
S12000018,2.62,2012,Inverclyde
S12000029,2.13,2008,South Lanarkshire
S12000018,2.03,2011,Inverclyde
S12000029,2.35,2007,South Lanarkshire
S12000019,1.87,2008,Midlothian
S12000019,1.88,2007,Midlothian
S12000019,1.82,2006,Midlothian
S12000045,1.63,2009,East Dunbartonshire
S12000020,1.82,2009,Moray
S12000028,1.74,2011,South Ayrshire
S12000021,2.2,2005,North Ayrshire
S12000021,2.35,2004,North Ayrshire
S12000028,1.68,2006,South Ayrshire
S12000045,1.48,2008,East Dunbartonshire
S12000028,1.66,2010,South Ayrshire
S12000028,1.63,2005,South Ayrshire
S12000020,1.71,2013,Moray
S12000028,1.92,2008,South Ayrshire
S12000045,1.7,2012,East Dunbartonshire
S12000021,2.46,2003,North Ayrshire
S12000021,2.21,2007,North Ayrshire
S12000028,1.87,2007,South Ayrshire
S12000028,1.95,2004,South Ayrshire
S12000021,2.27,2006,North Ayrshire
S12000006,2.03,2003,Dumfries and Galloway
S12000006,1.98,2002,Dumfries and Galloway
S12000005,2.55,2013,Clackmannanshire
S12000036,1.89,2011,City of Edinburgh
S12000029,2.38,2004,South Lanarkshire
S12000045,1.88,2005,East Dunbartonshire
S12000045,1.71,2006,East Dunbartonshire
S12000029,2.2,2005,South Lanarkshire
S12000036,2.17,2010,City of Edinburgh
S12000019,2.06,2011,Midlothian
S12000019,2.08,2012,Midlothian
S12000005,3.03,2010,Clackmannanshire
S12000039,2.21,2011,West Dunbartonshire
S12000039,2.43,2012,West Dunbartonshire
S12000005,2.13,2012,Clackmannanshire
S12000038,2.57,2002,Renfrewshire
S12000005,3.07,2009,Clackmannanshire
S12000006,2.01,2004,Dumfries and Galloway
S12000036,2.33,2009,City of Edinburgh
S12000006,2.14,2006,Dumfries and Galloway
S12000036,1.65,2013,City of Edinburgh
S12000006,1.88,2005,Dumfries and Galloway
S12000039,2.04,2013,West Dunbartonshire
S12000029,2.37,2003,South Lanarkshire
S12000020,2.03,2003,Moray
S12000029,1.86,2011,South Lanarkshire
S12000020,1.88,2002,Moray
S12000019,2.17,2013,Midlothian
S12000019,2.13,2002,Midlothian
S12000019,2.49,2003,Midlothian
S12000029,1.9,2010,South Lanarkshire
S12000045,2.02,2002,East Dunbartonshire
S12000018,2.94,2013,Inverclyde
S12000042,1.93,2013,Dundee City
S12000019,1.9,2010,Midlothian
S12000019,1.95,2009,Midlothian
S12000045,2.38,2004,East Dunbartonshire
S12000020,2.12,2006,Moray
S12000028,1.81,2013,South Ayrshire
S12000020,1.92,2005,Moray
S12000045,1.46,2007,East Dunbartonshire
S12000020,2.1,2004,Moray
S12000029,2.28,2006,South Lanarkshire
S12000029,2.5,2002,South Lanarkshire
S12000010,1.97,2003,East Lothian
S12000035,2.6,2008,Argyll and Bute
S12000008,2.21,2013,East Ayrshire
S12000040,2.29,2008,West Lothian
S12000035,2.31,2009,Argyll and Bute
S12000008,2.21,2011,East Ayrshire
S12000010,1.91,2002,East Lothian
S12000008,2.08,2010,East Ayrshire
S12000035,1.28,2012,Argyll and Bute
S12000040,2.58,2012,West Lothian
S12000010,1.89,2010,East Lothian
S12000008,2.1,2008,East Ayrshire
S12000008,1.95,2005,East Ayrshire
S12000035,1.46,2013,Argyll and Bute
S12000040,2.47,2006,West Lothian
S12000008,2.01,2007,East Ayrshire
S12000008,2.2,2009,East Ayrshire
S12000035,1.67,2010,Argyll and Bute
S12000008,1.91,2006,East Ayrshire
S12000035,1.36,2011,Argyll and Bute
S12000013,1.84,2007,Na h-Eileanan Siar
S12000033,2.01,2013,Aberdeen City
S12000034,1.84,2002,Aberdeenshire
S12000013,2.07,2006,Na h-Eileanan Siar
S12000041,2.1,2008,Angus
S12000011,1.25,2012,East Renfrewshire
S12000034,1.83,2003,Aberdeenshire
S12000013,2.3,2005,Na h-Eileanan Siar
S12000013,2.14,2004,Na h-Eileanan Siar
S12000041,2.26,2007,Angus
S12000034,2.08,2004,Aberdeenshire
S12000034,1.79,2006,Aberdeenshire
S12000013,1.57,2002,Na h-Eileanan Siar
S12000013,2.37,2003,Na h-Eileanan Siar
